REG,PANNEAU,Voix
52,18,116716
52,19,8634
52,20,855
52,21,781
52,22,2665
52,23,115
52,24,12571
52,25,84
52,26,301
52,27,238029
52,28,213
52,29,30454
52,30,291
52,31,4485
52,32,234
52,33,31598
52,34,363
52,35,22739
52,36,63
52,37,702
52,38,54
53,1,92
53,2,139
53,3,60722
53,4,101604
53,5,367102
53,6,104517
53,7,358
53,8,27306
53,9,158
53,10,1151
53,11,249867
53,12,94
53,13,5060
53,14,6816
53,15,13219
53,16,339
53,17,261
53,18,108068
53,19,8402
53,20,1128
53,21,793
53,22,2915
53,23,372
53,24,11555
53,25,56
53,26,225
53,27,264599
53,28,120
53,29,33398
53,30,256
53,31,5785
53,32,234
53,33,36692
53,34,493
53,35,20412
53,36,37
53,37,766
53,38,40
75,1,11
75,2,90
75,3,121621
75,4,165017
75,5,751054
75,6,128806
75,7,429
75,8,47271
75,9,84
75,10,1442
75,11,358511
75,12,584
75,13,6898
75,14,10489
75,15,24976
75,16,303
75,17,324
75,18,157461
75,19,11584
75,20,1548
75,21,400
75,22,4506
75,23,195
75,24,22351
75,25,105
75,26,231
75,27,387328
75,28,462
75,29,112883
75,30,897
75,31,6498
75,32,468
75,33,70598
75,34,548
75,35,30467
75,36,30
75,37,1009
75,38,48
76,1,35
76,2,122
76,3,133848
76,4,216535
76,5,814265
76,6,124245
76,7,324
76,8,43661
76,9,35
76,10,1268
76,11,293917
76,12,257
76,13,7548
76,14,9849
76,15,26881
76,16,433
76,17,198
76,18,132569
76,19,9553
76,20,1212
76,21,1920
76,22,4216
76,23,214
76,24,24369
76,25,194
76,26,588
76,27,374941
76,28,186
76,29,92815
76,30,597
76,31,6255
76,32,572
76,33,64477
76,34,286
76,35,27739
76,36,25
76,37,922
76,38,60
84,1,29
84,2,158
84,3,172274
84,4,292518
84,5,952167
84,6,191073
84,7,4108
84,8,56783
84,9,105
84,10,5725
84,11,437205
84,12,838
84,13,11691
84,14,12609
84,15,31257
84,16,625
84,17,305
84,18,245483
84,19,13097
84,20,1953
84,21,1843
84,22,4740
84,23,330
84,24,27779
84,25,125
84,26,393
84,27,426383
84,28,197
84,29,64037
84,30,565
84,31,8573
84,32,447
84,33,71339
84,34,424
84,35,41643
84,36,30
84,37,1136
84,38,70
93,1,98
93,2,108
93,3,150248
93,4,188289
93,5,751466
93,6,82316
